record_index,record_id,work_id,title,auto_level,screen_priority_score,final_level,exclusion_code,reviewer,review_basis,evidence_location,decision_notes,preferred_record_id,is_preferred_manifestation,dedup_rule,preferred_manifestation_rationale
73,REC-35A5F4E0194903D4,WORK-F9CDE7DDB4928808,FPGA Implementation of pipeline Digit-Slicing Multiplier-Less Radix 2 power of 2 DIF SDF Butterfly for Fourier Transform Structure,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-35A5F4E0194903D4:title+abstract,"The abstract centers on an unrelated workload (The need for wireless communication has driven the communication systems to high performance) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-35A5F4E0194903D4,True,unique,latest non-withdrawn preprint
74,REC-F6A6EB8FD7251DAD,WORK-0201D83E77165AFC,Novel Architecture of Pipeline Radix 2 power of 2 SDF FFT Based on Digit-Slicing Technique,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-F6A6EB8FD7251DAD:title+abstract,"The abstract centers on an unrelated workload (The prevalent need for very high-speed digital signals processing in wireless communications has driven the communications system to high-performance levels) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-F6A6EB8FD7251DAD,True,unique,peer-reviewed manifestation; latest version breaks ties
75,REC-49F671D93D450AD9,WORK-6756FCE43DDDDD4E,On-Chip Implementation of Pipeline Digit-Slicing Multiplier-Less Butterfly for Fast Fourier Transform Architecture,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-49F671D93D450AD9:title+abstract,"The abstract centers on an unrelated workload (The need for wireless communication has driven the communication systems to high performance) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-49F671D93D450AD9,True,unique,peer-reviewed manifestation; latest version breaks ties
76,REC-FEAE1D67589AD270,WORK-738531F1F70DB91B,The Effect of the Digit Slicing Architecture on the FFT Butterfly,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-FEAE1D67589AD270:title+abstract,"The abstract centers on an unrelated workload (Most communications systems tend to achieve bandwidth, power and cost efficiencies to capable to describe modulation scheme) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-FEAE1D67589AD270,True,unique,peer-reviewed manifestation; latest version breaks ties
77,REC-AAFC038BCBE50BB1,WORK-2F75271994F66A4D,Low-complexity 8-point DCT Approximation Based on Angle Similarity for Image and Video Coding,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-AAFC038BCBE50BB1:title+abstract,"The abstract centers on an unrelated workload (The principal component analysis (PCA) is widely used for data decorrelation and dimensionality reduction) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-AAFC038BCBE50BB1,True,unique,peer-reviewed manifestation; latest version breaks ties
78,REC-D88E8214DB7BBA3E,WORK-D5404F8A3F0997BC,A High-performance Track Fitter for Use in Ultra-fast Electronics,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-D88E8214DB7BBA3E:title+abstract,"The abstract centers on an unrelated workload (This article describes a new charged-particle track fitting algorithm designed for use in high-speed electronics applications such as hardware-based triggers…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-D88E8214DB7BBA3E,True,unique,peer-reviewed manifestation; latest version breaks ties
79,REC-ED59B1D5F5C32113,WORK-E9663AF082809625,High-speed Implementation of FFT-based Privacy Amplification on FPGA in Quantum Key Distribution,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-ED59B1D5F5C32113:title+abstract,"The abstract centers on an unrelated workload (Privacy amplification (PA) is a vital procedure in quantum key distribution (QKD) to generate the secret key that the eavesdropper…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-ED59B1D5F5C32113,True,unique,latest non-withdrawn preprint
81,REC-34D6BAEDB792D06C,WORK-CE3FAC9B774DAD2C,"Improving Reliability, Security, and Efficiency of Reconfigurable Hardware Systems",X,1,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-34D6BAEDB792D06C:title+abstract,"The treatise applies dynamic partial reconfiguration to SQL, image, signal-processing, satellite-reliability, and cryptographic workloads; it supplies no transformer/LM-relevant operator, compiler, or architecture evidence.",REC-34D6BAEDB792D06C,True,unique,latest non-withdrawn preprint
82,REC-BDF6D5B4373DE47A,WORK-785C4B5852654ECE,An Area Efficient 2D Fourier Transform Architecture for FPGA Implementation,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-BDF6D5B4373DE47A:title+abstract,"The abstract centers on an unrelated workload (Two-dimensional Fourier transform plays a significant role in a variety of image processing problems, such as medical image processing, digital…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-BDF6D5B4373DE47A,True,unique,peer-reviewed manifestation; latest version breaks ties
83,REC-36F0A271EFF0199A,WORK-7FE07F4E47A7A7B4,Artificial Retina Using A Hybrid Neural Network With Spatial Transform Capability,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-36F0A271EFF0199A:title+abstract,"The abstract centers on an unrelated workload (This paper covers the design and programming of a hybrid (digital/analog) neural network to function as an artificial retina with…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-36F0A271EFF0199A,True,unique,latest non-withdrawn preprint
87,REC-D0099014D837A521,WORK-D59919A50C3DD5A9,OpenCL-based FPGA accelerator for disparity map generation with stereoscopic event cameras,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-D0099014D837A521:title+abstract,"The abstract centers on an unrelated workload (Although event-based cameras are already commercially available) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-D0099014D837A521,True,unique,latest non-withdrawn preprint
88,REC-D97053B95AB833E6,WORK-3ECE0F2C6A3F5BF4,Fast Compressed Power Spectrum Estimation: Towards A Practical Solution for Wideband Spectrum Sensing,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-D97053B95AB833E6:title+abstract,"The abstract centers on an unrelated workload (There has been a growing interest in wideband spectrum sensing due to its applications in cognitive radios and electronic surveillance) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-D97053B95AB833E6,True,unique,latest non-withdrawn preprint
89,REC-F8D486FD316535AD,WORK-7B6195262F8A7AED,2D and 3D Computer Graphics Algorithms under MorphoSys,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-F8D486FD316535AD:title+abstract,"The abstract centers on an unrelated workload (This paper presents new mappings of 2D and 3D geometrical transformation on the MorphoSys (M1) reconfigurable computing (RC) prototype [2]) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-F8D486FD316535AD,True,unique,peer-reviewed manifestation; latest version breaks ties
93,REC-AA3630B18BB5F5C6,WORK-AFCBBEE221055F7F,DRAB-LOCUS: An Area-Efficient AES Architecture for Hardware Accelerator Co-Location on FPGAs,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-AA3630B18BB5F5C6:title+abstract,"The abstract centers on an unrelated workload (Advanced Encryption Standard (AES) implementations on Field Programmable Gate Arrays (FPGA) commonly focus on maximizing throughput at the cost of…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-AA3630B18BB5F5C6,True,unique,latest non-withdrawn preprint
96,REC-798CD52628A50AD6,WORK-8D3BF536FE4FF52F,CoCoPIE: Making Mobile AI Sweet As PIE --Compression-Compilation Co-Design Goes a Long Way,B,8,X,X_NOT_FPGA,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-798CD52628A50AD6:title+abstract,The abstract describes a mobile software compression compiler and only compares its efficiency against FPGA solutions without producing FPGA hardware.,REC-798CD52628A50AD6,True,unique,latest non-withdrawn preprint
97,REC-8CEEE39C1C03B3AE,WORK-E84F7DA2868C3591,A Submatrix-Based Method for Approximate Matrix Function Evaluation in the Quantum Chemistry Code CP2K,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-8CEEE39C1C03B3AE:title+abstract,"The abstract centers on an unrelated workload (Electronic structure calculations based on density-functional theory (DFT) represent a significant part of today's HPC workloads and pose high demands…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-8CEEE39C1C03B3AE,True,unique,peer-reviewed manifestation; latest version breaks ties
98,REC-FA1D60BEAE9A18AD,WORK-5FEF07863B102C3E,Near Memory Acceleration on High Resolution Radio Astronomy Imaging,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-FA1D60BEAE9A18AD:title+abstract,"The abstract centers on an unrelated workload (Modern radio telescopes like the Square Kilometer Array (SKA) will need to process in real-time exabytes of radio-astronomical signals to…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-FA1D60BEAE9A18AD,True,unique,latest non-withdrawn preprint
99,REC-1BD39A11DBF6BC60,WORK-DA45F3882A02CA02,Efficient Ab-Initio Molecular Dynamic Simulations by Offloading Fast Fourier Transformations to FPGAs,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-1BD39A11DBF6BC60:title+abstract,"The abstract centers on an unrelated workload (A large share of today's HPC workloads is used for Ab-Initio Molecular Dynamics (AIMD) simulations, where the interatomic forces are…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-1BD39A11DBF6BC60,True,unique,latest non-withdrawn preprint
101,REC-BAA08971107EB217,WORK-384B46A17791B640,A Deep Learning-Based FPGA Function Block Detection Method with Bitstream to Image Transformation,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-BAA08971107EB217:title+abstract,"The abstract centers on an unrelated workload (In the context of various application scenarios and/or for the sake of strengthening field-programmable gate array (FPGA) security, the system…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-BAA08971107EB217,True,unique,peer-reviewed manifestation; latest version breaks ties
104,REC-B8C88E3CD57FA457,WORK-2B91BB71BA035749,Real-Time Refocusing using an FPGA-based Standard Plenoptic Camera,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-B8C88E3CD57FA457:title+abstract,"The abstract centers on an unrelated workload (Plenoptic cameras are receiving increasing attention in scientific and commercial applications because they capture the entire structure of light in…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-B8C88E3CD57FA457,True,unique,peer-reviewed manifestation; latest version breaks ties
105,REC-B050DA93F1DA379D,WORK-410A227A9629A06A,FPGA: Fast Patch-Free Global Learning Framework for Fully End-to-End Hyperspectral Image Classification,X,9,X,X_NOT_FPGA,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-B050DA93F1DA379D:title+abstract,The title/abstract do not report material FPGA execution of the claimed model contribution (Deep learning techniques have provided significant improvements in hyperspectral image (HSI) classification).,REC-B050DA93F1DA379D,True,unique,peer-reviewed manifestation; latest version breaks ties
106,REC-2342F9BF3B1AB602,WORK-0652D93DC13B8861,Hardware Implementation of Iterative Projection-Aggregation Decoding of Reed-Muller Codes,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-2342F9BF3B1AB602:title+abstract,"The abstract centers on an unrelated workload (In this work, we present a simplification and a corresponding hardware architecture for hard-decision recursive projection-aggregation (RPA) decoding of Reed-Muller…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-2342F9BF3B1AB602,True,unique,latest non-withdrawn preprint
107,REC-D0D2254368D3B08B,WORK-61641A6E7ED9499E,"A fully pipelined FPGA accelerator for scale invariant feature transform keypoint descriptor matching,",X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-D0D2254368D3B08B:title+abstract,"The abstract centers on an unrelated workload (The scale invariant feature transform (SIFT) algorithm is considered a classical feature extraction algorithm within the field of computer vision) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-D0D2254368D3B08B,True,unique,peer-reviewed manifestation; latest version breaks ties
108,REC-3DBEC0B586ABB7C0,WORK-E9C7F43DE8B4CDAA,EXMA: A Genomics Accelerator for Exact-Matching,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-3DBEC0B586ABB7C0:title+abstract,"The abstract centers on an unrelated workload (Genomics is the foundation of precision medicine, global food security and virus surveillance) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-3DBEC0B586ABB7C0,True,unique,latest non-withdrawn preprint
109,REC-3BF9C4C1B606866E,WORK-1ED064754B5996EA,A real time digital receiver for correlation measurements in atomic systems,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-3BF9C4C1B606866E:title+abstract,"The abstract centers on an unrelated workload (We present the development and characterization of a generic, reconfigurable, low-cost ($<$ 350 USD) software-defined digital receiver system (DRS) for…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-3BF9C4C1B606866E,True,unique,peer-reviewed manifestation; latest version breaks ties
111,REC-3BFEDC35FEE6688E,WORK-B7705AD5A4D9B669,Observational demonstration of a low-cost fast Fourier transform spectrometer with a delay-line-based ramp-compare ADC implemented on FPGA,D,7,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-3BFEDC35FEE6688E:title+abstract,The abstract implements an FPGA radio spectrometer with ADC and FFT functions but no transformer-relevant contribution.,REC-3BFEDC35FEE6688E,True,unique,peer-reviewed manifestation; latest version breaks ties
114,REC-E43A2DC89D039B8D,WORK-FB44D106948E3D6B,Winograd Algorithm for AdderNet,X,2,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-E43A2DC89D039B8D:title+abstract,"The abstract centers on an unrelated workload (Adder neural network (AdderNet) is a new kind of deep model that replaces the original massive multiplications in convolutions by…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-E43A2DC89D039B8D,True,unique,latest non-withdrawn preprint
115,REC-348FA63EF433FC7D,WORK-AF7C5C23FFFE5842,Large-scale and High-speed Privacy Amplification for FPGA-based Quantum Key Distribution,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-348FA63EF433FC7D:title+abstract,"The abstract centers on an unrelated workload (The FPGA-based Quantum key distribution (QKD) system is an important trend of QKD systems) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-348FA63EF433FC7D,True,unique,latest non-withdrawn preprint
116,REC-147FD411962C71A6,WORK-729AA827D7510606,Few-Shot Domain Adaptation For End-to-End Communication,X,4,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-147FD411962C71A6:title+abstract,"The abstract centers on an unrelated workload (The problem of end-to-end learning of a communication system using an autoencoder -- consisting of an encoder, channel, and decoder…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-147FD411962C71A6,True,unique,latest non-withdrawn preprint
118,REC-5EBD295089780BF4,WORK-62816B0246A8B41D,Relational Memory: Native In-Memory Accesses on Rows and Columns,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-5EBD295089780BF4:title+abstract,"The abstract centers on an unrelated workload (Analytical database systems are typically designed to use a column-first data layout to access only the desired fields) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-5EBD295089780BF4,True,unique,latest non-withdrawn preprint
119,REC-BE790A13874474BF,WORK-0C3EACD3CB42E3DF,Accelerating Encrypted Computing on Intel GPUs,D,7,X,X_ASIC_GPU_ONLY,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-BE790A13874474BF:title+abstract,The abstract contributes only a SYCL backend for homomorphic encryption on Intel GPUs and mentions FPGAs solely as prior work.,REC-BE790A13874474BF,True,unique,latest non-withdrawn preprint
120,REC-76DCF46E7848DAB7,WORK-A4ECD505E115114C,Memory-Efficient CNN Accelerator Based on Interlayer Feature Map Compression,D,7,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-76DCF46E7848DAB7:title+abstract,The abstract compresses CNN feature maps with DCT hardware and does not expose a transformer operator or reusable model-to-hardware route.,REC-76DCF46E7848DAB7,True,unique,latest non-withdrawn preprint
122,REC-B7FF364706B031F7,WORK-58477C2CF381B6C9,Physical Side-Channel Attacks on Embedded Neural Networks: A Survey,X,5,X,X_SECONDARY,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-B7FF364706B031F7:title+abstract,"The record identifies itself as a survey, review, overview, guide, or position piece (""Physical Side-Channel Attacks on Embedded Neural Networks: A Survey""), not primary implementation evidence.",REC-B7FF364706B031F7,True,unique,peer-reviewed manifestation; latest version breaks ties
123,REC-641104861DB63DFC,WORK-0A1FBBD9BCC0AF75,Development of an FPGA-based realtime DAQ system for axion haloscope experiments,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-641104861DB63DFC:title+abstract,"The abstract centers on an unrelated workload (A real-time Data Acquisition (DAQ) system for the CULTASK axion haloscope experiment was constructed and tested) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-641104861DB63DFC,True,unique,peer-reviewed manifestation; latest version breaks ties
124,REC-4A6FA7206BAA75B4,WORK-CE660B2FAD9A6CCC,Image Denoising in FPGA using Generic Risk Estimation,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-4A6FA7206BAA75B4:title+abstract,"The abstract centers on an unrelated workload (The generic risk estimator addresses the problem of denoising images corrupted by additive white noise without placing any restriction on…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-4A6FA7206BAA75B4,True,unique,latest non-withdrawn preprint
126,REC-2D18C1AB2332BD28,WORK-684B9A5F5ABE81CB,Fast and Scalable Computation of the Forward and Inverse Discrete Periodic Radon Transform,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-2D18C1AB2332BD28:title+abstract,"The abstract centers on an unrelated workload (The Discrete Periodic Radon Transform (DPRT) has been extensively used in applications that involve image reconstructions from projections) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-2D18C1AB2332BD28,True,unique,peer-reviewed manifestation; latest version breaks ties
127,REC-82C674E8D7722312,WORK-38351CB53837E521,Fast 2D Convolutions and Cross-Correlations Using Scalable Architectures,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-82C674E8D7722312:title+abstract,"The abstract centers on an unrelated workload (The manuscript describes fast and scalable architectures and associated algorithms for computing convolutions and cross-correlations) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-82C674E8D7722312,True,unique,peer-reviewed manifestation; latest version breaks ties
132,REC-5BA6F31CB89D22EF,WORK-FA9B0E171F7B8C5D,Fast Muon Tracking with Machine Learning Implemented in FPGA,X,2,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-5BA6F31CB89D22EF:title+abstract,"The abstract centers on an unrelated workload (In this work, we present a new approach for fast tracking on multiwire proportional chambers with neural networks) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-5BA6F31CB89D22EF,True,unique,peer-reviewed manifestation; latest version breaks ties
134,REC-1FB2D9363D418D3A,WORK-4CFCA204F544F053,Benchmarking Test-Time Unsupervised Deep Neural Network Adaptation on Edge Devices,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-1FB2D9363D418D3A:title+abstract,"The abstract centers on an unrelated workload (The prediction accuracy of the deep neural networks (DNNs) after deployment at the edge can suffer with time due to…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-1FB2D9363D418D3A,True,unique,latest non-withdrawn preprint
135,REC-AED6C450CC7834B2,WORK-5DB67EE59E0BFF00,Demo: Real-Time Semantic Communications with a Vision Transformer,A,10,X,X_NO_EVIDENCE,codex-title-abstract-screen,title_abstract+local_full_text,survey/build/phase1_mapping.csv#record_id=REC-AED6C450CC7834B2:title+abstract; LLM-inference-on-FPGA-papers/papers/2205.03886v1.pdf#section=II.System_Setup&search=prototype_based_on_a_field-programmable_gate_array,"The abstract places a ViT in an FPGA-based semantic-communication prototype, but the full paper gives no HDL/HLS mapping, synthesis, or FPGA model-execution evidence.",REC-AED6C450CC7834B2,True,unique,peer-reviewed manifestation; latest version breaks ties
136,REC-BF8086DAD8681402,WORK-AB4E2D6C3B96F1D7,A Transistor Operations Model for Deep Learning Energy Consumption Scaling Law,X,5,X,X_PERFORMANCE_MODEL_ONLY,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-BF8086DAD8681402:title+abstract,"The record provides a formal, analytical, or energy model (Deep Learning (DL) has transformed the automation of a wide range of industries and finds increasing ubiquity in society) without an executable transformer-relevant FPGA architecture.",REC-BF8086DAD8681402,True,unique,latest non-withdrawn preprint
137,REC-447285B4B840EE11,WORK-C44CCA8524BA3056,Block-Parallel Systolic-Array Architecture for 2-D NTT-based Fragile Watermark Embedding,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-447285B4B840EE11:title+abstract,"The abstract centers on an unrelated workload (Number-theoretic transforms (NTTs) have been applied in the fragile watermarking of digital images) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-447285B4B840EE11,True,unique,peer-reviewed manifestation; latest version breaks ties
139,REC-DA2EC52C4B78AD71,WORK-A0772686D61E888B,VidConv: A modernized 2D ConvNet for Efficient Video Recognition,B,8,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-DA2EC52C4B78AD71:title+abstract,The abstract explicitly removes attention and Transformer blocks in favor of a 2-D ConvNet and provides no FPGA compiler contribution.,REC-DA2EC52C4B78AD71,True,unique,latest non-withdrawn preprint
140,REC-B2475D779EEF408D,WORK-FEDC0DCFD1695A00,Towards a Low-SWaP 1024-beam Digital Array: A 32-beam Sub-system at 5.8 GHz,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-B2475D779EEF408D:title+abstract,"The abstract centers on an unrelated workload (Millimeter wave communications require multibeam beamforming in order to utilize wireless channels that suffer from obstructions, path loss, and multi-path…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-B2475D779EEF408D,True,unique,peer-reviewed manifestation; latest version breaks ties
142,REC-4894CC10C8AB67A3,WORK-3BC6C06DF0CC5926,Low-Complexity Loeffler DCT Approximations for Image and Video Coding,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-4894CC10C8AB67A3:title+abstract,"The abstract centers on an unrelated workload (This paper introduced a matrix parametrization method based on the Loeffler discrete cosine transform (DCT) algorithm) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-4894CC10C8AB67A3,True,unique,peer-reviewed manifestation; latest version breaks ties
146,REC-A1560326B01F3E64,WORK-D9E6AAAC2CFDFAC7,Optimizing digital spectrometers for radioastronomical observations,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-A1560326B01F3E64:title+abstract,"The abstract centers on an unrelated workload (The goal of this thesis was to develop a procedure to optimize the mirror suppression, which reduces the dynamic range…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-A1560326B01F3E64,True,unique,latest non-withdrawn preprint
147,REC-79C05654ACFFF3E5,WORK-79AEA3C39C57A7C1,A Multi-FPGA High Performance Computing System for 3D FFT-based Numerical Simulations,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-79C05654ACFFF3E5:title+abstract,"The abstract centers on an unrelated workload (In the field of High Performance Computing, communications among processes represent a typical bottleneck for massively parallel scientific applications) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-79C05654ACFFF3E5,True,unique,latest non-withdrawn preprint
148,REC-EEEA57D7E193DA78,WORK-554D321D3BDABBA2,Learned Image Compression with Generalized Octave Convolution and Cross-Resolution Parameter Estimation,B,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-EEEA57D7E193DA78:title+abstract,The abstract proposes learned image compression that merely names FPGA as a possible decoder platform and reports no FPGA implementation.,REC-EEEA57D7E193DA78,True,unique,latest non-withdrawn preprint
151,REC-5A6C902321EA037F,WORK-4C668A7F3E771A0E,"XR-RF Imaging Enabled by Software-Defined Metasurfaces and Machine Learning: Foundational Vision, Technologies and Challenges",X,7,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-5A6C902321EA037F:title+abstract,"The abstract centers on an unrelated workload (We present a new approach to Extended Reality (XR), denoted as iCOPYWAVES, which seeks to offer naturally low-latency operation and…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-5A6C902321EA037F,True,unique,peer-reviewed manifestation; latest version breaks ties
152,REC-6FB8D6370DDA238B,WORK-4D1A8D66B15A5ADE,FPGA Hardware Acceleration for Feature-Based Relative Navigation Applications,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-6FB8D6370DDA238B:title+abstract,"The abstract centers on an unrelated workload (Estimation of rigid transformation between two point clouds is a computationally challenging problem in vision-based relative navigation) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-6FB8D6370DDA238B,True,unique,latest non-withdrawn preprint
155,REC-D2117C9C65232AA0,WORK-BF1B408F67B2A47C,"Ultrafast Image Retrieval from a Holographic Memory Disc for High-Speed Operation of a Shift, Scale, and Rotation Invariant Target Recognition System",X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-D2117C9C65232AA0:title+abstract,"The abstract centers on an unrelated workload (The hybrid opto-electronic correlator (HOC) architecture has been shown to be able to detect matches in a shift, scale, and…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-D2117C9C65232AA0,True,unique,peer-reviewed manifestation; latest version breaks ties
161,REC-786ADC1381CD7C7C,WORK-3D6A9BFA249BF2A9,Static Power Consumption Modeling and Measurement of Reconfigurable Intelligent Surfaces,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-786ADC1381CD7C7C:title+abstract,"The abstract centers on an unrelated workload (Reconfigurable intelligent surfaces (RISs) are anticipated to transform wireless communication in a way that is both economical and energy efficient) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-786ADC1381CD7C7C,True,unique,latest non-withdrawn preprint
