arxiv_id,base_arxiv_id,title,published_year,primary_category,all_categories,pdf_path,pdf_sha256,pdf_pages,pdf_scanned,pdf_status,survey_scope,llm_relevance_hits,llm_relevance_score,mlir_circt_level,mlir_circt_hits,mlir_circt_pages,mlir_circt_evidence,hls_level,hls_hits,hls_pages,hls_evidence,overlay_level,overlay_hits,overlay_pages,overlay_evidence,param_rtl_level,param_rtl_hits,param_rtl_pages,param_rtl_evidence,dataflow_level,dataflow_hits,dataflow_pages,dataflow_evidence,cpu_fpga_fallback_level,cpu_fpga_fallback_hits,cpu_fpga_fallback_pages,cpu_fpga_fallback_evidence,realistically_reusable,top_route_candidates,route_notes
2211.08110v2,2211.08110,HeatViT: Hardware-Efficient Adaptive Token Pruning for Vision Transformers,2022,cs.AR,cs.AR|cs.AI|cs.CV,LLM-inference-on-FPGA-papers/papers/2211.08110v2.pdf,d9df524587cdeaff75ae0a6e2e6a726825c356000f689706a228889ae66ed25a,13,yes,ok,full_paper,transformer;attention;token;inference,0.36,none,,,,medium, hls;vitis hls," hls@p8,10;vitis hls@p8,10","hls@p8,10;vitis hls@p8,10",none,,,,none,,,,high,pipeline;double buffering;tiling,"pipeline@p3,9,10;double buffering@p7;tiling@p7","pipeline@p3,9,10;double buffering@p7;tiling@p7",high,co-design;ps ; cpu;processing system;hybrid,"co-design@p1,2,13;ps @p1,2,5,6,7,8,9,10,11; cpu@p2,6,7,11;processing system@p12,13;hybrid@p12","co-design@p1,2,13;ps @p1,2,5,6,7,8,9,10,11;cpu@p2,6,7,11;processing system@p12,13;hybrid@p12",high,cpu_fpga_fallback:high;dataflow:high;hls:medium,"cpu_fpga_fallback:high via co-design@p1,2,13;ps @p1,2,5,6,7,8,9,10,11; cpu@p2,6,7,11;processing system@p12,13;hybrid@p12"
2211.14547v1,2211.14547,Profile-Guided Parallel Task Extraction and Execution for Domain Specific Heterogeneous SoC,2022,cs.DC,cs.DC|cs.AR,LLM-inference-on-FPGA-papers/papers/2211.14547v1.pdf,48d1b732365eb2ac766d26063c0f5d7ea4e8e5ec4ffade965beca8f0a1eea5ed,8,yes,ok,full_paper,,0.00,medium,tensor;llvm,"tensor@p1,8;llvm@p2,3,8","tensor@p1,8;llvm@p2,3,8",medium,llvm;high-level synthesis,"llvm@p2,3,8;high-level synthesis@p8","llvm@p2,3,8;high-level synthesis@p8",low,microarchitecture,microarchitecture@p8,microarchitecture@p8,none,,,,low,pipeline,pipeline@p8,pipeline@p8,high,heterogeneous; cpu;ps ;host,"heterogeneous@p1,2,6,7,8; cpu@p2,6,7;ps @p2,4,5,7;host@p6","heterogeneous@p1,2,6,7,8;cpu@p2,6,7;ps @p2,4,5,7;host@p6",low,cpu_fpga_fallback:high;mlir_circt:medium;hls:medium,"cpu_fpga_fallback:high via heterogeneous@p1,2,6,7,8; cpu@p2,6,7;ps @p2,4,5,7;host@p6"
2301.01454v1,2301.01454,"Accurate, Low-latency, Efficient SAR Automatic Target Recognition on FPGA",2023,cs.AR,cs.AR|cs.CV|eess.IV,LLM-inference-on-FPGA-papers/papers/2301.01454v1.pdf,f0315eb83bdea9b167729ce171d7f2b3539a33e409c1964993c34374db443dac,8,yes,ok,full_paper,transformer;attention;inference,0.27,none,,,,medium,high-level synthesis; hls,high-level synthesis@p5; hls@p7,high-level synthesis@p5;hls@p7,medium,overlay;microarchitecture,overlay@p6;microarchitecture@p8,overlay@p6;microarchitecture@p8,none,,,,low,pipeline,"pipeline@p4,5","pipeline@p4,5",high, cpu;co-design;heterogeneous;ps ;processing system;hybrid;host;cpu-fpga," cpu@p1,2,5,6,7;co-design@p1,2,7;heterogeneous@p1,2,7;ps @p5,6;processing system@p7;hybrid@p7;host@p7;cpu-fpga@p7","cpu@p1,2,5,6,7;co-design@p1,2,7;heterogeneous@p1,2,7;ps @p5,6;processing system@p7",high,cpu_fpga_fallback:high;overlay:medium;hls:medium,"cpu_fpga_fallback:high via  cpu@p1,2,5,6,7;co-design@p1,2,7;heterogeneous@p1,2,7;ps @p5,6;processing system@p7;hybrid@p7;host@p7;cpu-fpga@p7"
2302.02959v1,2302.02959,"Rule-based High-level Hardware-RTL Synthesis of Algorithms, Virtualizing Machines, and Communication Protocols with FPGAs based on Concurrent Communicating Sequential Processes and the ConPro Synthesis Framework",2023,cs.AR,cs.AR|cs.DC|cs.PL,LLM-inference-on-FPGA-papers/papers/2302.02959v1.pdf,88101d0b21b2ad8ae056deaadaa688de4fa0e724543a236c74378b6acd46e2ef,79,yes,ok,full_paper,decode;inference,0.18,low,handshake,"handshake@p32,67","handshake@p32,67",high,high-level synthesis; hls;high level synthesis;vivado hls,"high-level synthesis@p1,2,3,4,5,6,63,64; hls@p3,4,10,64;high level synthesis@p64;vivado hls@p64","high-level synthesis@p1,2,3,4,5,6,63,64;hls@p3,4,10,64;high level synthesis@p64;vivado hls@p64",low,instruction set,"instruction set@p3,58","instruction set@p3,58",high,vhdl; rtl;register-transfer;verilog;hardware description,"vhdl@p2,3,4,5,6,7,8,19,20,21,24,25,27,29,56; rtl@p2,3,4,5,6,7,8,9,10,19,25,28,64;register-transfer@p2,3,19,25,28,63;verilog@p3,7,8,25;hardware description@p3","vhdl@p2,3,4,5,6,7,8,19,20,21,24,25,27,29,56;rtl@p2,3,4,5,6,7,8,9,10,19,25,28,64;register-transfer@p2,3,19,25,28,63;verilog@p3,7,8,25;hardware description@p3",none,,,,high,heterogeneous;co-design;ps ;processing system; cpu,"heterogeneous@p1,53;co-design@p3,4,8,63;ps @p3,6,7,8,9,14,15,17,25,42,43,51,52,59,74,75;processing system@p4,63; cpu@p56","heterogeneous@p1,53;co-design@p3,4,8,63;ps @p3,6,7,8,9,14,15,17,25,42,43,51,52,59,74,75;processing system@p4,63;cpu@p56",high,param_rtl:high;cpu_fpga_fallback:high;hls:high,"param_rtl:high via vhdl@p2,3,4,5,6,7,8,19,20,21,24,25,27,29,56; rtl@p2,3,4,5,6,7,8,9,10,19,25,28,64;register-transfer@p2,3,19,25,28,63;verilog@p3,7,8,25;hardware description@p3"
2303.00299v1,2303.00299,Static Power Consumption Modeling and Measurement of Reconfigurable Intelligent Surfaces,2023,cs.IT,cs.IT|eess.SP,LLM-inference-on-FPGA-papers/papers/2303.00299v1.pdf,d7d81408f290563015303df3a864be7094bebe62982c834d8d5528513ad1812f,5,yes,ok,full_paper,attention,0.09,none,,,,none,,,,none,,,,none,,,,none,,,,none,,,,none,,no explicit route hints found in full-paper scan
2303.02799v1,2303.02799,Programming nonreciprocity and harmonic beam steering via a digitally space-time-coded metamaterial antenna,2023,physics.app-ph,physics.app-ph|eess.SY,LLM-inference-on-FPGA-papers/papers/2303.02799v1.pdf,77f367177c7bca1379064195d7ce127d3cb3b23d2296407325286dc8d9e90ef7,16,yes,ok,full_paper,,0.00,none,,,,none,,,,none,,,,none,,,,none,,,,none,,,,none,,no explicit route hints found in full-paper scan
2303.12901v1,2303.12901,Dynasparse: Accelerating GNN Inference through Dynamic Sparsity Exploitation,2023,cs.DC,cs.DC|cs.AR,LLM-inference-on-FPGA-papers/papers/2303.12901v1.pdf,00bfaec29285d3a507665a678aa6e8e59981d2508b59b082f0a88cf212ac22e5,12,yes,ok,full_paper,inference,0.09,low,tensor,tensor@p3,tensor@p3,none,,,,low,microarchitecture,microarchitecture@p5,microarchitecture@p5,low,verilog,verilog@p9,verilog@p9,high,dataflow;systolic;pipeline;streaming;double buffering,"dataflow@p5;systolic@p5;pipeline@p6,7;streaming@p7;double buffering@p7,11","dataflow@p5;systolic@p5;pipeline@p6,7;streaming@p7;double buffering@p7,11",high, cpu;ps ;host;cpu-fpga," cpu@p1,2,9,10,11,12;ps @p2,3,4,7,8,9;host@p3,11;cpu-fpga@p9","cpu@p1,2,9,10,11,12;ps @p2,3,4,7,8,9;host@p3,11;cpu-fpga@p9",high,dataflow:high;cpu_fpga_fallback:high;param_rtl:low,"dataflow:high via dataflow@p5;systolic@p5;pipeline@p6,7;streaming@p7;double buffering@p7,11"
2303.13601v1,2303.13601,Scaled Quantization for the Vision Transformer,2023,eess.IV,eess.IV|cs.AR|cs.CV,LLM-inference-on-FPGA-papers/papers/2303.13601v1.pdf,0861b3281b46602c54fb265429e596aff1f5c115361f797017f8aed7a2c35f96,10,yes,ok,full_paper,transformer;attention;token;inference,0.36,medium,affine;tensor,affine@p4;tensor@p5,affine@p4;tensor@p5,none,,,,none,,,,none,,,,none,,,,medium,ps ; cpu,"ps @p1,2; cpu@p2","ps @p1,2;cpu@p2",medium,mlir_circt:medium;cpu_fpga_fallback:medium,mlir_circt:medium via affine@p4;tensor@p5
2304.02510v1,2304.02510,FPGA-Patch: Mitigating Remote Side-Channel Attacks on FPGAs using Dynamic Patch Generation,2023,cs.CR,cs.CR,LLM-inference-on-FPGA-papers/papers/2304.02510v1.pdf,51d2616f3640c0f907e86d8f4782dd974fa7d05ad8158521966b9ef762f1a7ba,6,yes,ok,full_paper,attention,0.09,none,,,,none,,,,none,,,,low, rtl, rtl@p3,rtl@p3,none,,,,high,ps ;heterogeneous;host,"ps @p1,3,4,6;heterogeneous@p2;host@p4","ps @p1,3,4,6;heterogeneous@p2;host@p4",high,cpu_fpga_fallback:high;param_rtl:low,"cpu_fpga_fallback:high via ps @p1,3,4,6;heterogeneous@p2;host@p4"
2305.03018v1,2305.03018,The Polynomial Connection between Morphological Dilation and Discrete Convolution,2023,eess.IV,eess.IV,LLM-inference-on-FPGA-papers/papers/2305.03018v1.pdf,c1ebdc96e2410db8cdec82882aa13c34d67b89cfee006bcfa7b3a18fd0fe791f,11,yes,ok,full_paper,,0.00,none,,,,medium, hls;vitis hls, hls@p8;vitis hls@p8,hls@p8;vitis hls@p8,low,overlay,overlay@p10,overlay@p10,none,,,,low,pipeline,pipeline@p11,pipeline@p11,low,ps ,"ps @p3,5","ps @p3,5",low,hls:medium;overlay:low;dataflow:low,hls:medium via  hls@p8;vitis hls@p8
2305.04887v1,2305.04887,Hardware Acceleration of Explainable Artificial Intelligence,2023,cs.LG,cs.LG|cs.AI,LLM-inference-on-FPGA-papers/papers/2305.04887v1.pdf,06839e67f32fc393b29e3c6239ebd67e0639bfe0df95cf889bc52fd7f1b5ad84,12,yes,ok,full_paper,attention;inference,0.18,low,tensor,"tensor@p1,2,12","tensor@p1,2,12",none,,,,none,,,,none,,,,medium,pipeline;systolic,"pipeline@p2;systolic@p2,3,12","pipeline@p2;systolic@p2,3,12",high, cpu;ps ;host;processing system;co-design," cpu@p2,7,8,9,10,12;ps @p3,4,6,11;host@p7,8,9;processing system@p12;co-design@p12","cpu@p2,7,8,9,10,12;ps @p3,4,6,11;host@p7,8,9;processing system@p12;co-design@p12",high,cpu_fpga_fallback:high;dataflow:medium;mlir_circt:low,"cpu_fpga_fallback:high via  cpu@p2,7,8,9,10,12;ps @p3,4,6,11;host@p7,8,9;processing system@p12;co-design@p12"
2305.09834v1,2305.09834,The Tiny Triplet Finder as a Versatile Track Segment Seeding Engine for Trigger Systems,2023,physics.acc-ph,physics.acc-ph,LLM-inference-on-FPGA-papers/papers/2305.09834v1.pdf,cfcd3d750ab9bf0d47bdd3e0c67914ee07ccb6a3be9111cd520f1a026bdc797f,3,yes,ok,full_paper,,0.00,none,,,,none,,,,none,,,,none,,,,low,pipeline,pipeline@p1,pipeline@p1,low,ps ,ps @p2,ps @p2,low,dataflow:low;cpu_fpga_fallback:low,dataflow:low via pipeline@p1
2305.10838v2,2305.10838,ProgSG: Cross-Modality Representation Learning for Programs in Electronic Design Automation,2023,cs.LG,cs.LG|cs.PL,LLM-inference-on-FPGA-papers/papers/2305.10838v2.pdf,,0,no,unavailable_or_failed,metadata_fallback,large language model;token,0.18,none,,,,medium,high-level synthesis; hls,high-level synthesis@p1; hls@p1,high-level synthesis@p1;hls@p1,low,microarchitecture,microarchitecture@p1,microarchitecture@p1,high,verilog;vhdl;hardware description,verilog@p1;vhdl@p1;hardware description@p1,verilog@p1;vhdl@p1;hardware description@p1,none,,,,none,,,,high,param_rtl:high;hls:medium;overlay:low,param_rtl:high via verilog@p1;vhdl@p1;hardware description@p1
2305.12824v1,2305.12824,FieldHAR: A Fully Integrated End-to-end RTL Framework for Human Activity Recognition with Neural Networks from Heterogeneous Sensors,2023,eess.SP,eess.SP|cs.AR,LLM-inference-on-FPGA-papers/papers/2305.12824v1.pdf,07c3c7067a150ee0add35f8fa498f823d43d9bd22b1119b486b240cf41dbab56,9,yes,ok,full_paper,attention;inference,0.18,low,tensor,"tensor@p2,4,5,6,8","tensor@p2,4,5,6,8",low,high-level synthesis,high-level synthesis@p1,high-level synthesis@p1,none,,,,high, rtl;systemverilog;verilog;system verilog," rtl@p1,2,3,6,8;systemverilog@p3;verilog@p3,6;system verilog@p6","rtl@p1,2,3,6,8;systemverilog@p3;verilog@p3,6;system verilog@p6",medium,pipeline;tiling,"pipeline@p1,8;tiling@p6","pipeline@p1,8;tiling@p6",high,heterogeneous; cpu;ps ,"heterogeneous@p1,2,3,5,8; cpu@p2,8;ps @p3,8","heterogeneous@p1,2,3,5,8;cpu@p2,8;ps @p3,8",high,param_rtl:high;cpu_fpga_fallback:high;dataflow:medium,"param_rtl:high via  rtl@p1,2,3,6,8;systemverilog@p3;verilog@p3,6;system verilog@p6"
2305.15999v1,2305.15999,An Overview of FPGA-inspired Obfuscation Techniques,2023,cs.CR,cs.CR|cs.AR,LLM-inference-on-FPGA-papers/papers/2305.15999v1.pdf,2c4f48515e16f21b893b7273e9b8c8e26daeab3da0d90328109e0b1f5f87deb6,30,yes,ok,full_paper,attention,0.09,none,,,,medium,high-level synthesis; hls,"high-level synthesis@p10,13,18; hls@p18,19","high-level synthesis@p10,13,18;hls@p18,19",none,,,,high,hardware description;fpga ip;verilog;vhdl; rtl;synthesizable,"hardware description@p4;fpga ip@p5,6,7;verilog@p10;vhdl@p10; rtl@p13,15;synthesizable@p17,18,19","hardware description@p4;fpga ip@p5,6,7;verilog@p10;vhdl@p10;rtl@p13,15",none,,,,medium,ps ;hybrid,"ps @p2,3,5,7,10,12,13,16,18,25;hybrid@p5,11,12,14,15,17,25","ps @p2,3,5,7,10,12,13,16,18,25;hybrid@p5,11,12,14,15,17,25",high,param_rtl:high;hls:medium;cpu_fpga_fallback:medium,"param_rtl:high via hardware description@p4;fpga ip@p5,6,7;verilog@p10;vhdl@p10; rtl@p13,15;synthesizable@p17,18,19"
2305.18691v2,2305.18691,Edge-MoE: Memory-Efficient Multi-Task Vision Transformer Architecture with Task-level Sparsity via Mixture-of-Experts,2023,cs.AR,cs.AR|cs.CV,LLM-inference-on-FPGA-papers/papers/2305.18691v2.pdf,b735c1a6d36bc58deb7070aac9e1f081fe933636a838e5750ce1dd89e3d2d629,11,yes,ok,full_paper,transformer;attention;token;decode;inference,0.45,none,,,,high,high-level synthesis; hls;vitis hls,"high-level synthesis@p1,2,9; hls@p8,9;vitis hls@p9","high-level synthesis@p1,2,9;hls@p8,9;vitis hls@p9",none,,,,none,,,,high,systolic;memory hierarchy;dataflow;streaming;pipeline,systolic@p3;memory hierarchy@p5;dataflow@p8;streaming@p8;pipeline@p8,systolic@p3;memory hierarchy@p5;dataflow@p8;streaming@p8;pipeline@p8,high, cpu;host;ps ;hybrid;processing system;co-design," cpu@p1,3,9,10;host@p1,9;ps @p1,3,4,5,7,8,9,10,11;hybrid@p3,8;processing system@p10,11;co-design@p11","cpu@p1,3,9,10;host@p1,9;ps @p1,3,4,5,7,8,9,10,11;hybrid@p3,8;processing system@p10,11",high,cpu_fpga_fallback:high;dataflow:high;hls:high,"cpu_fpga_fallback:high via  cpu@p1,3,9,10;host@p1,9;ps @p1,3,4,5,7,8,9,10,11;hybrid@p3,8;processing system@p10,11;co-design@p11"
2305.19896v1,2305.19896,fpgaHART: A toolflow for throughput-oriented acceleration of 3D CNNs for HAR onto FPGAs,2023,cs.AR,cs.AR|cs.AI|cs.CV|cs.LG,LLM-inference-on-FPGA-papers/papers/2305.19896v1.pdf,2d7af4a5ba273d6a846d52d2e9034848ae31eaa78f8c9f8c1eacb4e7417c0db2,7,yes,ok,full_paper,transformer;attention;inference,0.27,none,,,,medium, hls;vitis hls," hls@p3,5;vitis hls@p3,5","hls@p3,5;vitis hls@p3,5",none,,,,none,,,,high,dataflow;streaming;pipeline,"dataflow@p1;streaming@p2,4;pipeline@p5","dataflow@p1;streaming@p2,4;pipeline@p5",medium,ps ; cpu,"ps @p1,2,3,4,5,6; cpu@p6","ps @p1,2,3,4,5,6;cpu@p6",high,dataflow:high;hls:medium;cpu_fpga_fallback:medium,"dataflow:high via dataflow@p1;streaming@p2,4;pipeline@p5"
2306.05021v2,2306.05021,Mixed-TD: Efficient Neural Network Accelerator with Layer-Specific Tensor Decomposition,2023,cs.LG,cs.LG|cs.AR,LLM-inference-on-FPGA-papers/papers/2306.05021v2.pdf,b6ecae2919cfa0304f49616398e5e309df6d0cd61fedc6c8919d887399bde9c1,8,yes,ok,full_paper,transformer;inference,0.18,low,tensor,"tensor@p1,2,3,4,6,7,8","tensor@p1,2,3,4,6,7,8",none,,,,none,,,,none,,,,high,dataflow;pipeline;systolic;streaming,"dataflow@p1,2,3,4,5,6,7,8;pipeline@p1,2,3,5,6,8;systolic@p5,8;streaming@p8","dataflow@p1,2,3,4,5,6,7,8;pipeline@p1,2,3,5,6,8;systolic@p5,8;streaming@p8",high,ps ; cpu;processing system;co-design;heterogeneous,"ps @p2,3,4,5,6,7; cpu@p5;processing system@p8;co-design@p8;heterogeneous@p8","ps @p2,3,4,5,6,7;cpu@p5;processing system@p8;co-design@p8;heterogeneous@p8",high,cpu_fpga_fallback:high;dataflow:high;mlir_circt:low,"cpu_fpga_fallback:high via ps @p2,3,4,5,6,7; cpu@p5;processing system@p8;co-design@p8;heterogeneous@p8"
2306.08746v1,2306.08746,MetaML: Automating Customizable Cross-Stage Design-Flow for Deep Learning Acceleration,2023,cs.LG,cs.LG|cs.AR,LLM-inference-on-FPGA-papers/papers/2306.08746v1.pdf,4237f474bb60029b69798dd97ff3b16a3d3d77f5f5cd3e1d7fa0d9f98ecfe628,5,yes,ok,full_paper,attention;inference,0.18,low,tensor,"tensor@p2,4","tensor@p2,4",high, hls;hls4ml;vivado hls," hls@p1,2,3,4;hls4ml@p1,2,3,4;vivado hls@p2","hls@p1,2,3,4;hls4ml@p1,2,3,4;vivado hls@p2",none,,,,low, rtl, rtl@p2,rtl@p2,low,pipeline,pipeline@p2,pipeline@p2,high,ps ;co-design;heterogeneous,"ps @p3,4;co-design@p4,5;heterogeneous@p5","ps @p3,4;co-design@p4,5;heterogeneous@p5",high,hls:high;cpu_fpga_fallback:high;param_rtl:low,"hls:high via  hls@p1,2,3,4;hls4ml@p1,2,3,4;vivado hls@p2"
2307.07319v5,2307.07319,The Power of Large Language Models for Wireless Communication System Development: A Case Study on FPGA Platforms,2023,eess.SP,eess.SP,LLM-inference-on-FPGA-papers/papers/2307.07319v5.pdf,44de0d132421d24f4fbbf4036be09417658e94d49bb0c4d00e65a4e2f8b69ace,17,yes,ok,full_paper, llm;large language model;transformer;attention;gpt;token;inference,0.64,none,,,,low, hls, hls@p10,hls@p10,none,,,,high,verilog;hardware description;vhdl;synthesizable; rtl,"verilog@p1,2,3,4,5,6,7,8,9,10,11,12,13,15,17;hardware description@p1,9,11;vhdl@p3,10;synthesizable@p8; rtl@p10","verilog@p1,2,3,4,5,6,7,8,9,10,11,12,13,15,17;hardware description@p1,9,11;vhdl@p3,10;synthesizable@p8;rtl@p10",low,tiling,tiling@p10,tiling@p10,medium,ps ;processing system,"ps @p2,5,6,7,8,9,11,12,16;processing system@p10","ps @p2,5,6,7,8,9,11,12,16;processing system@p10",high,param_rtl:high;cpu_fpga_fallback:medium;hls:low,"param_rtl:high via verilog@p1,2,3,4,5,6,7,8,9,10,11,12,13,15,17;hardware description@p1,9,11;vhdl@p3,10;synthesizable@p8; rtl@p10"
2308.04261v2,2308.04261,Novel Area-Efficient and Flexible Architectures for Optimal Ate Pairing on FPGA,2023,cs.CR,cs.CR,LLM-inference-on-FPGA-papers/papers/2308.04261v2.pdf,ea9936c6e907bf579989e1a5bd80f852eab3cdb4556475d622ba7e2a87449b6a,13,yes,ok,full_paper,decode,0.09,low,affine,affine@p4,affine@p4,low, hls, hls@p12,hls@p12,none,,,,low,vhdl,"vhdl@p2,3,5,6,10","vhdl@p2,3,5,6,10",low,pipeline,pipeline@p11,pipeline@p11,low,ps ,"ps @p3,5,6,9,10,13","ps @p3,5,6,9,10,13",low,param_rtl:low;mlir_circt:low;hls:low,"param_rtl:low via vhdl@p2,3,5,6,10"
2308.05930v1,2308.05930,INR-Arch: A Dataflow Architecture and Compiler for Arbitrary-Order Gradient Computations in Implicit Neural Representation Processing,2023,cs.AR,cs.AR|cs.DC|cs.LG,LLM-inference-on-FPGA-papers/papers/2308.05930v1.pdf,0d8c6e8a32736905a3df5a05a291922b656e40755676785f61fe736696acc5b6,9,yes,ok,full_paper,decode;inference,0.18,low,tensor,"tensor@p1,4","tensor@p1,4",high,high-level synthesis; hls;vitis hls,"high-level synthesis@p1,6,9; hls@p2,3,4,5,6;vitis hls@p6","high-level synthesis@p1,6,9;hls@p2,3,4,5,6;vitis hls@p6",none,,,,medium,synthesizable;verilog,synthesizable@p2;verilog@p3,synthesizable@p2;verilog@p3,high,dataflow;streaming;pipeline,"dataflow@p1,2,3,4,5,6,7,8;streaming@p1,3,5;pipeline@p2","dataflow@p1,2,3,4,5,6,7,8;streaming@p1,3,5;pipeline@p2",high, cpu;ps ;processing system," cpu@p1,3,6,7,8;ps @p4,6,7;processing system@p8,9","cpu@p1,3,6,7,8;ps @p4,6,7;processing system@p8,9",high,hls:high;dataflow:high;cpu_fpga_fallback:high,"hls:high via high-level synthesis@p1,6,9; hls@p2,3,4,5,6;vitis hls@p6"
2308.06849v1,2308.06849,When Monte-Carlo Dropout Meets Multi-Exit: Optimizing Bayesian Neural Networks on FPGA,2023,cs.LG,cs.LG|cs.AR,LLM-inference-on-FPGA-papers/papers/2308.06849v1.pdf,e7241851c366d551d075cef45ac45257484cafdd67df0debd30740bc63b414bb,6,yes,ok,full_paper,attention;decode;inference,0.27,low,tensor,"tensor@p3,4","tensor@p3,4",high, hls;hls4ml;high-level synthesis;high level synthesis," hls@p2,3,4,6;hls4ml@p2,3,4,6;high-level synthesis@p3;high level synthesis@p6","hls@p2,3,4,6;hls4ml@p2,3,4,6;high-level synthesis@p3;high level synthesis@p6",low,microarchitecture,microarchitecture@p6,microarchitecture@p6,low,verilog,verilog@p6,verilog@p6,low,pipeline,pipeline@p4,pipeline@p4,high, cpu;ps ;processing system;co-design," cpu@p1,5,6;ps @p2,3,4,5;processing system@p6;co-design@p6","cpu@p1,5,6;ps @p2,3,4,5;processing system@p6;co-design@p6",high,hls:high;cpu_fpga_fallback:high;param_rtl:low,"hls:high via  hls@p2,3,4,6;hls4ml@p2,3,4,6;high-level synthesis@p3;high level synthesis@p6"
2308.13922v1,2308.13922,An Efficient FPGA-Based Accelerator for Swin Transformer,2023,cs.AR,cs.AR,LLM-inference-on-FPGA-papers/papers/2308.13922v1.pdf,9914f834fe063588ac8421d962d4badea8a940143c0786898ccfcc2ae336736f,12,yes,ok,full_paper,transformer;attention;inference,0.27,none,,,,none,,,,medium,overlay;overlay processor,overlay@p12;overlay processor@p12,overlay@p12;overlay processor@p12,none,,,,medium,dataflow;tiling,"dataflow@p2,3,6,8,9,12;tiling@p7","dataflow@p2,3,6,8,9,12;tiling@p7",high, cpu;ps ;processing system," cpu@p1,2,10,11;ps @p3,6,8,9,11;processing system@p11","cpu@p1,2,10,11;ps @p3,6,8,9,11;processing system@p11",high,cpu_fpga_fallback:high;overlay:medium;dataflow:medium,"cpu_fpga_fallback:high via  cpu@p1,2,10,11;ps @p3,6,8,9,11;processing system@p11"
2309.12917v1,2309.12917,Platform-Aware FPGA System Architecture Generation based on MLIR,2023,cs.AR,cs.AR,LLM-inference-on-FPGA-papers/papers/2309.12917v1.pdf,4c630272c06cb0f9264badec40c0d4543d0b1bfd7981cd3b146ab30d1162b0c0,5,yes,ok,full_paper,,0.00,high,mlir;circt;llvm,"mlir@p1,2,3,4,5;circt@p2,5;llvm@p5","mlir@p1,2,3,4,5;circt@p2,5;llvm@p5",high, hls;vivado hls;vitis hls;high-level synthesis;llvm," hls@p2,4,5;vivado hls@p2;vitis hls@p2,4;high-level synthesis@p5;llvm@p5","hls@p2,4,5;vivado hls@p2;vitis hls@p2,4;high-level synthesis@p5;llvm@p5",none,,,,high,verilog;vhdl; rtl;hardware description,verilog@p2;vhdl@p2; rtl@p2;hardware description@p3,verilog@p2;vhdl@p2;rtl@p2;hardware description@p3,low,dataflow,dataflow@p2,dataflow@p2,high, cpu;offload;host;heterogeneous," cpu@p2;offload@p2;host@p2,3,4;heterogeneous@p5","cpu@p2;offload@p2;host@p2,3,4;heterogeneous@p5",low,hls:high;param_rtl:high;cpu_fpga_fallback:high,"hls:high via  hls@p2,4,5;vivado hls@p2;vitis hls@p2,4;high-level synthesis@p5;llvm@p5"
2310.01906v1,2310.01906,Implementation of hyperspectral inversion algorithms on FPGA: Hardware comparison using High Level Synthesis,2023,eess.SP,eess.SP,LLM-inference-on-FPGA-papers/papers/2310.01906v1.pdf,7c6ff95a5adac753581e91f758cdd452cdb4dec5e2ab0e222c7e7d37571e833a,12,yes,ok,full_paper,attention,0.09,none,,,,high,high level synthesis; hls;high-level synthesis,"high level synthesis@p1,3,5,7,9,11; hls@p1,2,6,7,8,12;high-level synthesis@p2,11,12","high level synthesis@p1,3,5,7,9,11;hls@p1,2,6,7,8,12;high-level synthesis@p2,11,12",none,,,,low, rtl," rtl@p2,8","rtl@p2,8",low,pipeline,"pipeline@p2,7,12","pipeline@p2,7,12",medium,ps ;co-design,"ps @p5,7,10,11;co-design@p8","ps @p5,7,10,11;co-design@p8",high,hls:high;cpu_fpga_fallback:medium;param_rtl:low,"hls:high via high level synthesis@p1,3,5,7,9,11; hls@p1,2,6,7,8,12;high-level synthesis@p2,11,12"
2310.02654v1,2310.02654,A Study of Quantisation-aware Training on Time Series Transformer Models for Resource-constrained FPGAs,2023,cs.LG,cs.LG|cs.AI|cs.AR,LLM-inference-on-FPGA-papers/papers/2310.02654v1.pdf,dec7727f4408387abe36faf8c4db15d31d3e1df087f1f6701b9d5699dff07d8c,12,yes,ok,full_paper,transformer;attention;inference,0.27,medium,tensor;affine,tensor@p2;affine@p5,tensor@p2;affine@p5,none,,,,none,,,,none,,,,none,,,,none,,,,medium,mlir_circt:medium,mlir_circt:medium via tensor@p2;affine@p5
2310.04618v1,2310.04618,KyberMat: Efficient Accelerator for Matrix-Vector Polynomial Multiplication in CRYSTALS-Kyber Scheme via NTT and Polyphase Decomposition,2023,cs.CR,cs.CR|cs.AR,LLM-inference-on-FPGA-papers/papers/2310.04618v1.pdf,c0966491fb7b189d83c76d63c4d05a5351969a0b5d6d8e4e8ce5c8354cadc413,9,yes,ok,full_paper,,0.00,none,,,,none,,,,none,,,,low,verilog,verilog@p6,verilog@p6,low,pipeline,"pipeline@p1,8,9","pipeline@p1,8,9",high,co-design;ps ;processing system,"co-design@p1;ps @p2,4,6,7,8;processing system@p9","co-design@p1;ps @p2,4,6,7,8;processing system@p9",low,cpu_fpga_fallback:high;param_rtl:low;dataflow:low,"cpu_fpga_fallback:high via co-design@p1;ps @p2,4,6,7,8;processing system@p9"
